sample,bam,pbi,reads
SRR7217321,/data1/users/luosiyuan/plant.bam/SRR7217321/m54175_170705_211921.subreads.bam,/data1/users/luosiyuan/plant.bam/SRR7217321/m54175_170705_211921.subreads.bam.pbi,None
SRR7217322,/data1/users/luosiyuan/plant.bam/SRR7217322/m54167_170706_101430.subreads.bam,/data1/users/luosiyuan/plant.bam/SRR7217322/m54167_170706_101430.subreads.bam.pbi,None
